Region,Year,Total Deaths Rate (in Thousands),,,,,,,,,,,Total Population (in Thousands),,,,,,,,,,
,,0 - 9, 10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70-79,80-89,90-99,Total,0 - 9,10 to 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Total
Europe,2000,   38,  1 039,  3 993,  3 012,  7 883,  7 370,  12 610,  5 183,  2 851,   788,  44 767,  179 482,  336 932, 1 587 942,  660 695,  425 173,  229 962,  254 555,  116 863,  31 770,  3 106, 3 826 481
Europe,2001,   36,  1 028,  4 005,  3 007,  7 894,  7 368,  12 586,  5 188,  2 843,   807,  44 763,  176 302,  331 656, 1 595 923,  661 582,  426 326,  232 787,  257 546,  119 620,  32 273,  3 227, 3 837 241
Europe,2002,   33,  1 033,  4 062,  3 041,  8 052,  7 510,  12 831,  5 309,  2 926,   855,  45 652,  173 634,  326 988, 1 605 129,  662 745,  428 016,  235 734,  260 240,  122 241,  32 725,  3 363, 3 850 814
Europe,2003,   31,  1 037,  4 112,  3 067,  8 192,  7 641,  13 055,  5 422,  3 038,   904,  46 499,  171 792,  322 577, 1 614 977,  664 143,  430 240,  238 661,  262 373,  124 472,  33 152,  3 464, 3 865 853
Europe,2004,   28,  1 022,  4 064,  3 015,  7 940,  7 396,  12 585,  5 217,  2 942,   868,  45 077,  170 340,  317 877, 1 624 551,  665 311,  432 557,  241 722,  264 477,  126 650,  33 925,  3 568, 3 880 977
Europe,2005,   27,  1 015,  4 092,  3 017,  8 020,  7 479,  12 712,  5 294,  3 044,   895,  45 595,  169 051,  313 305, 1 633 917,  666 520,  434 667,  245 001,  266 527,  129 032,  35 267,  3 616, 3 896 903
Europe,2006,   25,   947,  3 908,  2 874,  7 808,  7 310,  12 432,  5 208,  3 047,   857,  44 417,  167 956,  308 876, 1 642 785,  667 547,  436 248,  248 452,  269 005,  131 703,  36 890,  3 546, 3 913 008
Europe,2007,   24,   901,  3 798,  2 776,  7 767,  7 298,  12 431,  5 254,  3 131,   841,  44 220,  167 713,  305 040, 1 652 599,  669 259,  437 671,  252 146,  272 200,  134 685,  38 599,  3 450, 3 933 364
Europe,2008,   22,   864,  3 754,  2 714,  7 791,  7 341,  12 498,  5 333,  3 234,   832,  44 384,  168 559,  302 095, 1 662 588,  671 854,  439 144,  255 804,  275 044,  137 428,  40 315,  3 373, 3 956 205
Europe,2009,   22,   803,  3 629,  2 612,  7 731,  7 314,  12 461,  5 361,  3 303,   822,  44 056,  169 785,  299 740, 1 671 252,  673 781,  440 306,  259 509,  278 056,  139 990,  42 041,  3 392, 3 977 852
