Entity,Year,Meningitis,Neoplasms,Malaria,Drowning ,Interpersonal_violence,HIV,Drug_use_disorders ,Road_injuries,Maternal_disorders,Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Alcohol_use_disorders ,Diarrheal ,Nutritional_deficiencies,Self-harm,Diabetes_mellitus,Poisonings,Cardiovascular ,Kidney_disease ,Respiratory_diseases,Liver_diseases ,Digestive_diseases ,Alzheimer_disease ,Parkinson_disease ,Total_death_per_year
Mozambique,2019,2729,13531,20528,716,1811,66304,135,4979,2072,15524,258,8867,3530,2440,4712,618,31692,2645,3759,2547,7034,1529,341,198301
Myanmar,2019,1246,52674,294,3052,704,4773,214,5739,1653,21453,388,6700,1386,1956,22619,1008,138139,11554,43284,20361,25895,6784,1726,373602
Namibia,2019,100,1600,192,73,438,3772,6,575,77,1461,28,696,189,261,790,29,3747,349,791,339,729,228,53,16523
Nauru,2019,0,8,0,1,1,1,0,3,0,4,0,0,0,2,6,0,23,3,3,2,2,0,0,59
Nepal,2019,469,21609,1,1476,535,1434,36,2721,1714,8760,227,5627,1300,3528,3474,498,46501,5108,40800,7945,11323,2448,875,168409
Netherlands,2019,96,56513,0,80,144,49,176,810,7,6330,480,425,210,2017,3357,14,42569,3780,10766,1810,6478,8715,1919,146745
New Zealand,2019,13,10584,0,50,58,9,65,352,6,896,57,80,15,512,670,8,11948,915,2396,297,1088,2066,403,32488
Nicaragua,2019,44,4429,3,172,395,561,12,742,53,1011,387,195,145,355,1904,22,8202,3475,1343,1623,2237,706,218,28234
Niger,2019,7772,6976,23822,891,1962,1423,14,2785,3504,23642,101,28694,2449,972,2108,482,17201,2201,3619,3325,6499,854,238,141534
Nigeria,2019,44914,81558,191106,3153,12958,82270,274,18508,17650,172978,1221,181138,5496,7970,24473,3640,163496,20045,24506,40381,70077,12113,3334,1183259
Niue,2019,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,1,1,0,1,0,0,18
Nordic Region,2019,99,72949,0,287,285,66,1229,1144,8,8245,2005,1520,324,3542,4696,75,90371,4655,14007,3562,9995,14413,3129,236606
North Africa and Middle East,2019,6275,420812,7966,9709,18430,9433,7639,148991,11505,107742,1617,31310,5877,25803,100879,4373,1296729,111812,128513,109707,145707,70483,16784,2798096
North America,2019,1235,867146,0,3905,18868,7313,68243,43848,1015,91064,15406,13470,6445,50050,85163,1660,1040308,114475,243391,72736,142234,161002,36342,3085319
North Korea,2019,223,40841,2,1352,827,761,338,8382,182,6998,384,289,443,2954,4066,445,102586,4318,31704,5171,9205,5208,1296,227975
North Macedonia,2019,5,5431,0,22,44,2,13,171,1,181,27,7,1,211,1064,9,14023,363,652,317,593,437,180,23754
Northern Ireland,2019,8,5308,0,9,13,7,61,85,2,1172,65,39,5,201,182,5,5024,241,1436,272,876,815,203,16029
Northern Mariana Islands,2019,0,80,0,3,3,1,0,6,0,11,2,2,1,8,27,0,116,24,17,13,19,5,3,341
Norway,2019,19,12675,0,52,32,14,239,202,1,2036,241,349,101,562,666,20,12724,776,2771,360,1409,2633,503,38385
Oceania,2019,693,8768,1066,685,1157,4175,42,2814,914,7771,135,3796,308,753,8035,193,24984,1598,8940,1153,2229,673,338,81220
Oman,2019,14,1368,0,115,30,98,17,2053,14,407,8,36,38,118,705,24,4998,199,244,279,350,163,60,11338
Pakistan,2019,17987,179773,4031,3478,13446,3949,867,19348,16162,68193,2142,77024,14631,17688,47693,2106,341108,44390,82758,44070,62351,10960,4273,1078428
Palau,2019,0,36,0,2,2,2,0,3,0,18,0,1,0,3,23,0,65,13,17,4,6,2,1,198
Palestine,2019,28,2907,0,48,307,14,8,391,20,500,7,31,12,124,1293,5,6710,649,488,359,522,326,92,14841
Panama,2019,36,3984,0,126,625,540,19,530,53,818,32,186,126,199,1217,9,5318,1154,877,503,935,1054,190,18531
Papua New Guinea,2019,599,5645,928,379,983,3830,25,2232,770,6311,99,3116,205,289,4697,152,15540,741,7154,660,1368,402,199,56324
Paraguay,2019,65,6141,0,181,823,570,15,1501,114,1474,318,181,304,427,2447,12,9912,1883,1148,750,1668,1261,214,31409
