Country,Year,Cause_of_Death,Number_of_Deaths
Armenia,2018,Parkinson_disease,170
Armenia,2019,Meningitis,5
Armenia,2019,Neoplasms,5834
Armenia,2019,Malaria,0
Armenia,2019,Drowning,44
Armenia,2019,Interpersonal_violence,153
Armenia,2019,HIV,19
Armenia,2019,Drug_use_disorders,10
Armenia,2019,Road_injuries,240
Armenia,2019,Maternal_disorders,8
Armenia,2019,Alcohol_use_disorders,69
Armenia,2019,Diarrheal,13
Armenia,2019,Nutritional_deficiencies,4
Armenia,2019,Self.harm,287
Armenia,2019,Diabetes_mellitus,1235
Armenia,2019,Poisonings,18
Armenia,2019,Cardiovascular,13507
Armenia,2019,Kidney_disease,449
Armenia,2019,Respiratory_diseases,1323
Armenia,2019,Liver_diseases,1114
Armenia,2019,Digestive_diseases,1720
Armenia,2019,Alzheimer_disease,873
Armenia,2019,Parkinson_disease,169
Azerbaijan,2009,Meningitis,113
Azerbaijan,2009,Neoplasms,9484
Azerbaijan,2009,Malaria,1
Azerbaijan,2009,Drowning,341
Azerbaijan,2009,Interpersonal_violence,325
Azerbaijan,2009,HIV,40
Azerbaijan,2009,Drug_use_disorders,32
Azerbaijan,2009,Road_injuries,725
Azerbaijan,2009,Maternal_disorders,46
Azerbaijan,2009,Alcohol_use_disorders,192
Azerbaijan,2009,Diarrheal,172
Azerbaijan,2009,Nutritional_deficiencies,38
Azerbaijan,2009,Self.harm,406
Azerbaijan,2009,Diabetes_mellitus,1671
Azerbaijan,2009,Poisonings,83
Azerbaijan,2009,Cardiovascular,37685
Azerbaijan,2009,Kidney_disease,1222
Azerbaijan,2009,Respiratory_diseases,1716
Azerbaijan,2009,Liver_diseases,2811
Azerbaijan,2009,Digestive_diseases,3587
Azerbaijan,2009,Alzheimer_disease,765
Azerbaijan,2009,Parkinson_disease,280
Azerbaijan,2010,Meningitis,111
Azerbaijan,2010,Neoplasms,9740
Azerbaijan,2010,Malaria,1
Azerbaijan,2010,Drowning,345
